level,success,cost,nodes_expanded,max_frontier,time,solution_length
level_1,Éxito,33,290,28,0.006415605545043945,33
level_10,Éxito,89,2827,93,0.09264540672302246,89
level_2,Éxito,16,365,164,0.010693788528442383,16
level_3,Éxito,41,778,66,0.014637947082519531,41
level_4,Éxito,23,6635,1371,0.16927027702331543,23
level_5,Éxito,78,2552,170,0.05169367790222168,78
level_6,Éxito,107,22180,982,0.5676696300506592,107
level_7,Éxito,49,702,65,0.013490915298461914,49
level_8,Éxito,97,1898,75,0.035678863525390625,97
level_9,Éxito,30,245,19,0.0060656070709228516,30
