level,success,cost,nodes_expanded,max_frontier,time,solution_length
level_1,Éxito,33,308,24,0.0021860599517822266,33
level_10,Éxito,89,3486,114,0.03655505180358887,89
level_2,Éxito,16,1011,301,0.030363798141479492,16
level_3,Éxito,41,1149,91,0.010882139205932617,41
level_4,Éxito,23,21061,2648,5.7351720333099365,23
level_5,Éxito,78,4077,143,0.05434107780456543,78
level_6,Éxito,107,127413,2772,28.36340570449829,107
level_7,Éxito,49,799,57,0.005561113357543945,49
level_8,Éxito,97,2129,53,0.014017105102539062,97
level_9,Éxito,30,271,19,0.0012998580932617188,30
