level,success,cost,nodes_expanded,max_frontier,time,solution_length
level_1,Éxito,33,209,22,0.004956483840942383,33
level_10,Éxito,257,1982,60,0.052242279052734375,257
level_2,Éxito,18,19,14,0.00033092498779296875,18
level_3,Éxito,43,498,33,0.007058143615722656,43
level_4,Éxito,157,7445,219,0.4192018508911133,157
level_5,Éxito,154,1315,77,0.053665876388549805,154
level_6,Éxito,177,4440,269,0.32762694358825684,177
level_7,Éxito,63,611,30,0.010344505310058594,63
level_8,Éxito,173,1265,48,0.049401044845581055,173
level_9,Éxito,30,182,14,0.0039441585540771484,30
