level,success,cost,nodes_expanded,max_frontier,time,solution_length
level_1,Éxito,33,262,20,0.003961086273193359,33
level_10,Éxito,121,1294,59,0.02663135528564453,121
level_2,Éxito,16,47,11,0.0008883476257324219,16
level_3,Éxito,59,377,33,0.006506443023681641,59
level_4,Éxito,31,1462,362,0.04602694511413574,31
level_5,Éxito,78,475,71,0.00872349739074707,78
level_6,Éxito,137,2695,315,0.09653925895690918,137
level_7,Éxito,49,176,39,0.003972530364990234,49
level_8,Éxito,113,975,45,0.023464202880859375,113
level_9,Éxito,30,194,25,0.0067708492279052734,30
